Scan,HV_top,Efficiency,Eff_Error
STDMX_OFF,6200.0,0.003621722240207187,0.000845828192208049
STDMX_OFF,6400.0,0.009495523075409325,0.0013672895970368948
STDMX_OFF,6600.0,0.0880616663744554,0.003990936013983827
STDMX_OFF,6800.0,0.5346472625674187,0.007052660308872386
STDMX_OFF,7000.0,0.9180053718178327,0.0038905059340619353
STDMX_OFF,7100.0,0.969102537066307,0.0024567539427228914
STDMX_OFF,7200.0,0.9837205194630421,0.001802871840827264
STDMX_OFF,7300.0,0.9862318134018597,0.0016577553896105573
STDMX_OFF,7400.0,0.9887894062855164,0.0015054536110915952
STDMX_OFF,7500.0,0.9901375729350678,0.0014205674580012742
STDMX_10,6000.0,0.0,0.0
STDMX_10,6100.0,0.0004498313753656434,0.00033091594795749997
STDMX_10,6200.0,0.00014305066108064198,0.0001867308358788584
STDMX_10,6300.0,0.002944982318832229,0.0008488620167195614
STDMX_10,6400.0,0.007267504451948093,0.0013373368921334786
STDMX_10,6500.0,0.03836610949964606,0.0029298511430139907
STDMX_10,6600.0,0.11798518548132195,0.005029438893933631
STDMX_10,6700.0,0.2635270541082164,0.006846850290731233
STDMX_10,6800.0,0.4824377048787168,0.007805773754210481
STDMX_10,6900.0,0.6937005176859888,0.0072828886207364114
STDMX_10,7000.0,0.8374454708507745,0.005755153285849569
STDMX_10,7100.0,0.9176164541551868,0.004324132227380837
STDMX_10,7200.0,0.9545998340384155,0.0032627879242490858
STDMX_10,7300.0,0.967816254559785,0.0027556047211534
STDMX_10,7400.0,0.9738905712991661,0.0024952318110408214
STDMX_10,7500.0,0.9724518610326719,0.002570305580760199
STDMX_10,7600.0,0.9811748581040652,0.002151032976936641
STDMX_3.3,6000.0,0.0001976186947285213,0.00021869733917713832
STDMX_3.3,6100.0,0.00036615355688492384,0.00029787916543771184
STDMX_3.3,6200.0,0.0006350200509755822,0.0003930912992452928
STDMX_3.3,6300.0,0.0024409117713654425,0.0007700800688833856
STDMX_3.3,6400.0,0.006852451049353507,0.001303715485420613
STDMX_3.3,6500.0,0.03167053791984662,0.002707020605939873
STDMX_3.3,6600.0,0.0999055287357318,0.004642657634353323
STDMX_3.3,6700.0,0.27179447107460214,0.006831454163720299
STDMX_3.3,6800.0,0.48624757879908437,0.007787709998697918
STDMX_3.3,6900.0,0.6882596371248608,0.007170484090152863
STDMX_3.3,7000.0,0.8187802526790233,0.006034981287573257
STDMX_3.3,7100.0,0.8842229888862013,0.005015276290310031
STDMX_3.3,7200.0,0.920864009845911,0.004273108362542519
STDMX_3.3,7300.0,0.9390476867442046,0.0037445740187911215
STDMX_3.3,7400.0,0.950394663816317,0.0034190234715601613
STDMX_3.3,7500.0,0.9561251472705851,0.003255572050391035
STDMX_3.3,7600.0,0.9543498655244157,0.003307685512561827
STDMX_2.2,6200.0,0.0,0.0
STDMX_2.2,6400.0,0.009399291120621855,0.0013621707150008144
STDMX_2.2,6600.0,0.08682889527497872,0.00397109780595594
STDMX_2.2,6800.0,0.520634772462077,0.0070685787849557695
STDMX_2.2,7000.0,0.8762555825230158,0.004654068639177488
STDMX_2.2,7100.0,0.9261951974098015,0.0037097658055944213
STDMX_2.2,7200.0,0.9433104871213356,0.003282844516475908
STDMX_2.2,7300.0,0.948212102091914,0.0031650475215415676
STDMX_2.2,7400.0,0.954866585858069,0.0029778464983026705
STDMX_2.2,7500.0,0.957714284481466,0.002903745374871239
STDMX_1,6200.0,0.0010580727400978517,0.00039115755162489674
STDMX_1,6400.0,0.007490009833253134,0.001039475884394174
STDMX_1,6600.0,0.10688030409017119,0.003899357179192651
STDMX_1,6800.0,0.5508796086526907,0.0070364735671234
STDMX_1,7000.0,0.8651600983964642,0.004793984741768728
STDMX_1,7100.0,0.8958103638368247,0.004320512837137751
STDMX_1,7200.0,0.928092885581473,0.003664036326742267
STDMX_1,7300.0,0.9301154982653302,0.0036219049392403136
STDMX_1,7400.0,0.9337698256749442,0.00355589587705174
STDMX_1,7500.0,0.938718002248431,0.003298909876902695
