HV_top,HV_bot,current_top,current_bot,muon_stream,gamma_stream,muon_CM,gamma_CM,muon_CS,gamma_CS,muon_CM_err,gamma_CM_err,muon_CS_err,gamma_CS_err,efficiency,eff_error,noiseGammaRate,deltaV,current,deltaV_err
5800.0,5800.0,3.1616666595141094,0.5,0.0,0.0,1.0,1.144927536231884,1.0,1.3164556962025316,0.0,0.02898550724637694,0.0,0.03250507891858101,0.0008465983523581958,0.0008550433144891155,5.179170618772247,0.647587619922687,3.6616666595141094,0.03555264339475488
6000.0,6000.0,4.699999809265137,1.399999976158142,0.0,0.0,1.0,1.1262002743484225,1.0,1.07673568818514,0.0,0.010973936899862702,0.0,0.010390694216503071,0.00489580781808725,0.0021408183882552097,21.8044365023237,1.6180327499087934,6.099999785423279,0.08581167886211165
6200.0,6200.0,8.881666390101115,4.199999809265137,0.0,0.0,1.077922077922078,1.6455696202531647,1.2771084337349397,1.1087179487179488,0.025974025974025983,0.018143459915611615,0.030049610205527877,0.012091014911202791,0.06147049601828584,0.0074695949865185175,119.55696193571768,4.277321775526867,13.081666199366252,0.22110377031978767
6400.0,6400.0,16.973333231608073,10.199999809265137,0.0009551098376313276,0.0015331544653123803,1.0794117647058823,3.5568362480127185,1.098092643051771,1.1735389428986478,0.00588235294117645,0.06518282988871249,0.005951721642556862,0.021119322576031774,0.3110862787321902,0.014313867839962486,401.7336901171217,9.556869344655961,27.17333304087321,0.48877960190878206
6600.0,6600.0,28.74444462004162,19.89206308031839,0.0028790786948176585,0.007246376811594203,1.164642375168691,6.723897911832947,1.1819235225955969,1.2891074304117782,0.018893387314439902,0.1844547563805099,0.01886765030369264,0.034419493104193455,0.7071041721972986,0.014118563737848948,858.1012661019075,17.634478683358154,48.63650770036001,0.8976218766692224
6750.0,6750.0,38.933333669389995,29.452380770728702,0.009699321047526674,0.018748276812792942,1.225770925110132,8.666101215719536,1.4429469901168015,1.4278350515463918,0.07048458149779746,0.34322872490811385,0.07846100880839035,0.05439627667662461,0.886975239073494,0.009908996512979168,1225.4139942714933,25.15173038372168,68.3857144401187,1.2773230356864997
6900.0,6900.0,50.503960448916594,40.57920795856136,0.007936507936507936,0.04346739945041219,1.2545649838882922,10.077771939043615,1.6943493150684932,1.6153926373970173,0.13104189044038672,0.5599054125065699,0.16024078793671026,0.08502486502563888,0.9295386552526999,0.008092993490897066,1612.501065978755,33.75064926057834,91.08316840747796,1.7119295845272724
7150.0,7150.0,73.01626059679481,64.05365824505566,0.031190926275992438,0.11116600790513834,1.3624229979466118,11.836877448237269,2.209495101733233,1.9842571800023638,0.17864476386036965,0.9902070509233347,0.2561306780157113,0.15317786755144325,0.9491952657817436,0.006859112735003097,2324.890316048598,51.18145514960368,137.06991884185047,2.5927935508577655
7300.0,7300.0,92.90058818143957,82.0511760487276,0.03725490196078431,0.18948655256723718,1.413978494623656,13.143856447688565,2.3992395437262357,2.1293703866534,0.19462365591397845,1.2144160583941606,0.2902823244748989,0.18010116403107435,0.9459254585557133,0.0072172065707025645,2766.2807911626187,65.35460687545252,174.95176423016716,3.310552272184078
7400.0,7400.0,111.86000022888183,99.18642888750348,0.05153617443012884,0.23491432828408243,1.478688524590164,14.800787659993436,2.4767184035476717,2.126435762118054,0.2163934426229508,1.3409911388250748,0.3161768174741706,0.17665534572247799,0.9551825882469799,0.006688221009230933,3101.6430732468248,78.85701267842973,211.0464291163853,3.9943603749925667
