file_name,HV,Background Rate,WP,eff_WP,Muon CS,Gamma CS,Muon CS Err,Gamma CS Err
30CO2_1,7100.0,2.04836503915309,7005.594222110284,0.9458029728551144,1.7281879194630871,1.6108836486136304,0.0843113816281477,0.0665620340815444
30CO2_2.2,7100.0,1.6136841777195985,7003.268751695162,0.9438001434450396,1.8253797759705384,1.666027201849529,0.114241873135747,0.0768899379727643
30CO2_3.3,7100.0,0.7770108757611667,7103.19274910545,0.9467846902588708,1.9528591924574707,1.804443145279158,0.1138817575714374,0.0820523076212371
30CO2_4.6,7060.0,0.501371295576168,7090.642368437923,0.934020284650862,1.7832467825694287,1.6947819128482795,,
30CO2_6.9,7100.0,0.5243750145616912,7102.191343443608,0.9593755438409084,2.083943275388838,1.90809948624738,,
30CO2_10,7060.0,0.2551287213133878,7106.119505918201,0.9175539501070296,1.9869005847953216,1.8937031119755487,0.1359955912848052,0.0961324997250934
30CO2_22,7000.0,0.1333657647348112,7104.332031975407,0.9318169241288722,2.061513687600644,1.943099397282664,0.1497322058082801,0.1007651166156988
30CO2_OFF,7060.0,0.0022475025333709,7052.523600198856,0.976635937847476,2.0396998305495035,1.6764705882352942,0.1555794980960474,0.0460220764465122
30CO205SF6_1,6900.0,2.019059691854763,6825.302744387616,0.9437433178680102,1.706033376123235,1.5853253032933494,0.1081579991313079,0.0772416996444003
30CO205SF6_2.2,6900.0,1.0236944999429465,6809.172667297127,0.9444484079419132,1.8708474576271183,1.699614433807746,0.1721910865856006,0.0976082566577014
30CO205SF6_3.3,6930.0,0.8680363701270747,6927.559879286201,0.9503562249815892,1.9529709940861728,1.854804209912253,0.172710562021048,0.0973729209367526
30CO205SF6_4.6,7060.0,0.5597566511005783,6937.733603452963,0.9502830778826808,2.0224242424242425,1.9048986331529216,,
30CO205SF6_6.9,7060.0,0.4246104695953228,6926.371323845005,0.9568494475914676,1.987219451371571,1.9161211529066928,0.0,0.0304259634888437
30CO205SF6_10,7060.0,0.2853374630502274,6930.017556576317,0.9617140562665384,2.0698254364089776,1.952528957877808,0.2249837677253359,0.1091368362569211
30CO205SF6_22,7060.0,0.1445987687637574,6935.753256214013,0.9698073678055614,2.107947434292866,1.9785987439918604,,
30CO205SF6_OFF,6950.0,0.0025461652546913,6946.017005890999,0.9789217894088932,2.1670385718839658,1.9195979899497488,0.2415408638752367,0.083865076707905
40CO2_3.3,6960.0,1.075439804002587,6958.90528659945,0.9247468686978484,1.7801295896328293,1.7013283616872523,0.1678985238153572,0.0965426004420428
40CO2_4.6,7000.0,0.530323181370174,6977.163146993333,0.9356825891257108,1.8220695767781965,1.741839420546024,0.1569491132687213,0.0873853499101096
40CO2_6.9,7000.0,0.4015632082160405,6972.825728671099,0.942712287812575,1.8660794941282743,1.7911999728743062,0.2015518433408576,0.1038421555009239
40CO2_10,7000.0,0.2702401251314196,6970.141154653136,0.9512251473296496,1.9055172413793104,1.833677153171738,0.2191530646996604,0.1062543579715826
40CO2_22,7000.0,0.13744774299021,6964.544372930435,0.9571294353934806,1.971360381861576,1.8579798232971991,0.2359573114367834,0.1085352126473631
40CO2_OFF,7000.0,0.0044482262725135,6969.367088943728,0.973741173256952,2.007033713315547,1.3555555555555556,0.2395994594107231,0.067394991010425
STDMX_1,7200.0,1.991769212259004,7139.1840441811655,0.9499382374318792,1.641576048580709,1.5426718877135883,0.0986318026339359,0.0716184460134601
STDMX_2.2,7200.0,1.0046306519969652,7151.476413928388,0.9490861725900024,1.7540134645261525,1.62921189373721,0.1467403449516742,0.0887060082068045
STDMX_3.3,7220.0,0.8032703879047712,7215.799769625787,0.9456975518056864,1.885533262935586,1.761821641297154,0.1617505626936135,0.0897441817283868
STDMX_4.6,7250.0,0.5239623695296665,7229.830391801801,0.9608410980234696,1.9320471596998927,1.8227178661761323,,
STDMX_6.9,7200.0,0.4599433249908513,7213.41270214071,0.9575125027173907,2.0196486361534904,1.850464760437593,0.1486726723283897,0.0929841660585746
STDMX_10,7200.0,0.3073562956846646,7231.534112533619,0.9675986083743664,2.032213845099383,1.888612370414989,0.1765528531688944,0.0999324756251207
STDMX_22,7250.0,0.1358755060389086,7224.31508731053,0.9767556380281563,2.054481132075472,1.936667000701473,0.2170860296131154,0.1110992056069228
STDMX_OFF,7250.0,0.0046964009708266,7147.298035071018,0.9837159081433144,1.9139553116424928,1.29493545183714,0.2153441348848446,0.0315385051794518
