Scan,HV,Background Rate,WP,eff_WP,Muon CS,Gamma CS,Muon CS Err,Gamma CS Err
30CO2_1,7077.0,1.90377272983169,7064.025735406273,0.929611589012418,1.560432140445645,1.4974738392505438,0.0843113816281477,0.0665620340815444
30CO2_2.2,7048.0,0.9663745682709386,7019.807932222117,0.9289113919517342,1.7639344262295082,1.6476511429615497,0.114241873135747,0.0768899379727643
30CO2_3.3,7036.0,0.7380673602685137,7029.807298524782,0.930725925852204,1.8827772768259687,1.6968202748268737,0.1138817575714374,0.0820523076212371
30CO2_10,7033.0,0.2519353092990428,7034.076103792589,0.9530522294853904,2.0627843494085534,1.83404686795854,0.1359955912848052,0.0961324997250934
30CO2_22,7033.0,0.1312152816144085,6997.861075613043,0.948596803957622,1.830945558739255,1.6494337764647955,0.1497322058082801,0.1007651166156988
30CO2_OFF,7016.0,0.0055755140689741,7000.912556606316,0.9648910934688916,2.222857142857143,1.456,0.1555794980960474,0.0460220764465122
30CO205SF6_1,6946.0,1.995312798167245,7002.241131249088,0.9790394134689078,1.8778054862842888,1.779491454772822,0.1081579991313079,0.0772416996444003
30CO205SF6_2.2,6943.0,1.0310261257055733,6893.445076558397,0.9207647834841192,1.6943493150684932,1.615392637397017,0.1721910865856006,0.0976082566577014
30CO205SF6_3.3,6918.0,0.7796821232390072,6919.113744577172,0.9295386552527,1.7662337662337662,1.6499966503651102,0.172710562021048,0.0973729209367526
30CO205SF6_6.9,5800.0,0.0056253600230414,6906.5967121146,0.9368081578309572,1.91043834752444,1.7822556390977444,0.0,0.0304259634888437
30CO205SF6_10,6902.0,0.2627403892271611,6857.784533040797,0.9576172967665564,1.9633113828786453,1.7788767621646202,0.2249837677253359,0.1091368362569211
30CO205SF6_22,6877.0,0.1327701317946777,6866.219033301098,0.9598546946390794,,,0.2238057541539708,0.1071550820999802
30CO205SF6_OFF,6880.0,0.0079036875811441,6844.737877911959,0.9782739221633934,2.036417322834646,1.379008746355685,0.2415408638752367,0.083865076707905
40CO2_1,6998.0,1.9747369981810243,6963.847146647723,0.90750251173713,1.4318924809298947,1.453705236597382,0.1064376939101563,0.0784795124129018
40CO2_2.2,6955.0,0.9893490492384794,6916.447619940208,0.9228270957768137,1.5951585976627711,1.5624328678839956,0.1388301318588547,0.0871343163589097
40CO2_3.3,6964.0,0.7688759569737471,6871.983560006089,0.9480178361174886,,,0.1678985238153572,0.0965426004420428
40CO2_4.6,6891.0,0.541367476286381,6932.965172891621,0.9354395088960772,1.862051915945612,1.636980696991111,0.1569491132687213,0.0873853499101096
40CO2_6.9,6960.0,0.3830097466133027,6917.214672438729,0.9328901432045204,1.7139696586599242,1.6415068323152655,0.2015518433408576,0.1038421555009239
40CO2_10,6949.0,0.2588153029161466,6924.361447075152,0.947928220597634,1.7723880597014925,1.6745902664831729,0.2191530646996604,0.1062543579715826
40CO2_22,6957.0,0.1357376891051089,6758.10887246132,0.949793007005066,1.3901156677181914,1.4689273356401384,0.2359573114367834,0.1085352126473631
40CO2_OFF,6937.0,0.0084175014397828,6907.551120814545,0.9664398738937664,1.81963249516441,1.6255506607929515,0.2395994594107231,0.067394991010425
STDMX_1,7255.0,1.9255356271085609,7209.544608867625,0.9265764102628372,1.63969571230982,1.5631966560509554,0.0986318026339359,0.0716184460134601
STDMX_2.2,7253.0,0.9833857237513544,7216.30060712214,0.9382029731272984,1.830950378469302,1.6969596150893178,0.1467403449516742,0.0887060082068045
STDMX_3.3,7228.0,0.7487402748813216,7202.88709488306,0.9333529405425098,1.959266802443992,1.7481179257699395,0.1617505626936135,0.0897441817283868
STDMX_6.9,7184.0,0.3631500654282292,7156.531040896578,0.9514418433841624,1.740707162284678,1.667945205479452,0.1486726723283897,0.0929841660585746
STDMX_10,7205.0,0.2467697142805456,7187.110485418191,0.952523511256544,1.830540037243948,1.7038600102933608,0.1765528531688944,0.0999324756251207
STDMX_22,7225.0,0.1317772840785954,7183.927740973175,0.9634900351003846,1.9282250242483023,1.7075636787867003,0.2170860296131154,0.1110992056069228
STDMX_OFF,7211.0,0.006977485465664,7194.046089283188,0.9731579795162034,1.9508670520231213,1.352112676056338,0.2153441348848446,0.0315385051794518
