HV_top,HV_bot,current_top,current_bot,muon_stream,gamma_stream,muon_CM,gamma_CM,muon_CS,gamma_CS,muon_CM_err,gamma_CM_err,muon_CS_err,gamma_CS_err,efficiency,eff_error,noiseGammaRate,deltaV,current,deltaV_err
6100.0,6100.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666122881192e-08,0.10000000149011612,3.896943720673961e-09
6250.0,6250.0,0.5,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28125001297450236,0.800000011920929,0.014385204221502683
6400.0,6400.0,1.600000023841858,1.100000023841858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9777777963272574,2.700000047683716,0.04977994364676668
6550.0,6550.0,3.582993118130431,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.208817916443717,6.082993118130431,0.11240567516505316
6700.0,6700.0,6.318644240751105,4.699999809265137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.042824132173097,11.018644050016242,0.20539379218523446
6850.0,6850.0,9.635416868660185,7.535416632890701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.342750965464266,17.170833501550888,0.3218871816431246
7000.0,7000.0,13.336467262007233,10.947578204663051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.01839142634836,24.284045466670285,0.4572718567633022
7150.0,7150.0,17.258658310035607,14.774458746889453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.940174354240746,32.03311705692506,0.605050482704093
7300.0,7300.0,21.746369004915547,19.058286698836856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.235339985468832,40.8046557037524,0.7718130287115104
7450.0,7450.0,27.84556553716245,24.720174162491507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.642467705635745,52.56573969965396,0.9949421666768121
7600.0,7600.0,38.201024671250174,34.1445093671539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.044279828957087,72.34553403840408,1.3697740432047898
7750.0,7750.0,59.236063085753344,52.97643688903458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.94874311873051,112.21249997478793,2.124663401967555
