HV_top,HV_bot,current_top,current_bot,muon_stream,gamma_stream,muon_CM,gamma_CM,muon_CS,gamma_CS,muon_CM_err,gamma_CM_err,muon_CS_err,gamma_CS_err,efficiency,eff_error,noiseGammaRate,deltaV,current,deltaV_err
5950.0,5950.0,0.0,0.0,0.0,1.665112561609165e-05,1.0,1.2727272727272727,2.3636363636363638,1.5714285714285714,0.0,0.06818181818181812,0.0,0.07990314769975781,0.0017733204741619893,0.000540113975230176,0.14601836072036006,1.0,0.0,
6100.0,6100.0,0.0,0.0,0.0001590077913817777,0.0,1.0,1.3043478260869565,1.5272727272727273,2.05,0.05454545454545445,0.0652173913043479,0.07899686520376181,0.0976190476190475,0.008580379097660462,0.0011631232215593827,0.19371996439675268,1.0,0.0,
6250.0,6250.0,0.0,0.0,0.000957548675390999,2.718203810921743e-05,1.0771028037383177,1.2647058823529411,1.2321041214750543,1.627906976744186,0.016355140186915973,0.02941176470588247,0.018428907799840744,0.03699788583509522,0.06728867945126164,0.0031663393632227373,0.18961200469097064,1.0,0.0,
6400.0,6400.0,0.0,0.0,0.0016567263088137839,2.883090673201672e-05,1.0682613768961493,1.5301204819277108,1.1354451119606772,1.68503937007874,0.009918319719953272,0.048192771084337505,0.010445111960677211,0.05145158381919801,0.28102967547439756,0.005790512585844981,0.3074174868021248,1.0,0.0,
6550.0,6550.0,0.007476635625429243,0.0009345794531786554,0.007526020816653323,6.852882322304761e-05,1.059142702116115,1.6308724832214765,1.177766393442623,1.477366255144033,0.014650027129679888,0.02684563758389258,0.016068566257175787,0.02472579506517203,0.590712362816742,0.006245634386668298,0.49034465856740317,0.0012468975418705819,0.008411215078607898,6.919347111204645e-05
6700.0,6700.0,0.0,0.0,0.01184990125082291,1.3733999890128001e-05,1.0561375765961651,1.4965986394557824,1.3713269698671158,1.7636363636363637,0.053370231271002266,0.10884353741496589,0.06596441864673452,0.11956856702619412,0.8404370716357095,0.004726049408756514,0.5310173333867751,1.0,0.0,
6850.0,6850.0,0.0024498886779315754,0.0018708240813295667,0.017103580562659846,1.2486109203511094e-05,1.0529310344827587,1.4090909090909092,1.7044375307024726,2.004032258064516,0.11810344827586206,0.11931818181818166,0.17189925037267284,0.15644861494183937,0.9423706717428134,0.0029718741402219393,0.6183906408308004,0.0015927053092704604,0.004320712759261142,8.086818759410979e-05
7000.0,7000.0,0.035747664084083565,0.021028037696519744,0.023005148005148007,6.245316012990258e-05,1.0549857070791997,1.6722689075630253,2.1670385718839658,1.9195979899497488,0.18900285858415988,0.09243697478991586,0.3292445735060259,0.10055037090212982,0.9789217894088933,0.0018432711541085123,0.9509963813143769,0.019859928469194398,0.05677570178060331,0.0010165652223381384
7150.0,7150.0,0.03266187104389822,0.028920863740306963,0.039784770911462576,0.0001742225319511679,1.0605385011147317,1.6986301369863013,2.6065653298835705,1.7600806451612903,0.2227748242154004,0.06849315068493156,0.45248274268592237,0.07395296828408782,0.989992588215735,0.001297048093470139,1.0827798549687602,0.023008409762711107,0.06158273478420519,0.001165466005136803
7300.0,7300.0,0.14820628155507315,0.13520179655519837,0.05444172779136104,0.00017446352466166538,1.088097306689835,1.8377581120943953,2.9883423826253592,1.7367576243980738,0.24274543874891386,0.06489675516224191,0.5450730263125245,0.05923824455311255,0.9919423886937486,0.0011738022798387234,1.3438587089786558,0.10605427851799111,0.2834080781102715,0.005370646946538608
