HV_top,HV_bot,current_top,current_bot,muon_stream,gamma_stream,muon_CM,gamma_CM,muon_CS,gamma_CS,muon_CM_err,gamma_CM_err,muon_CS_err,gamma_CS_err,efficiency,eff_error,noiseGammaRate,deltaV,current,deltaV_err
6100.0,6100.0,1.7000000476837158,1.2999999523162842,0.0,7.23353466671489e-05,1.0,1.067513611615245,1.1764705882352942,1.0860251615096905,0.0,0.0039927404718693715,0.0,0.0040468417264927226,0.0013421242147481527,0.0005135555078182459,11.512267356756423,1.1049999902299223,3.0,0.05610367827994174
6300.0,6300.0,6.199999809265137,4.800000190734863,0.0,0.00010387092306626965,1.0844155844155845,1.5148410514606874,1.1676646706586826,1.075632850241546,0.01298701298701288,0.010655113869211252,0.01381851681252888,0.0075129592333715856,0.018842111650991054,0.0019108661742136806,96.03647979500676,4.058181852741389,11.0,0.20599035461868645
6500.0,6500.0,17.596880500931263,13.549589680137696,0.0003991219317501497,0.00038981288981288983,1.114003590664273,3.9187364921030756,1.1095890410958904,1.1272485066521858,0.007181328545780907,0.047049044056525435,0.007107055507419524,0.013373381936202966,0.20680736705613909,0.005722645227023898,430.21902303346263,11.482706178517352,31.14647018106896,0.5829201807070131
6700.0,6700.0,35.91741091501799,28.46805743210607,0.0033851055356431702,0.003326776209210831,1.2051654091700523,8.962598597083563,1.1752949674933784,1.2167357304304902,0.015960533952408484,0.18310679046482647,0.015361507417332776,0.024360348929053366,0.6821338921949773,0.006581954644013116,1083.6583117595283,23.821343764882233,64.38546834712406,1.2085902761814156
6900.0,6900.0,59.51014330526434,49.50837928326153,0.008574277168494517,0.01659919028340081,1.2997542997542997,13.33114069029562,1.4057398178381164,1.3933281088245824,0.0444494080857718,0.4853479853479854,0.04648425120468347,0.048945068926148805,0.8984032947552922,0.004284596414795276,1846.2825797613968,40.53784635620224,109.01852258852588,2.0550155639390453
7000.0,7000.0,72.5185423071106,61.85841395796176,0.009778487327878668,0.03569508104370983,1.341939683228466,14.93054150471221,1.5747776879547293,1.519438466105941,0.07029724452158814,0.716096054523188,0.07838807357464006,0.06953979003795618,0.927402205782853,0.003683557003645191,2254.8235828725656,50.07423297258913,134.37695626507235,2.5375546801205893
7100.0,7100.0,86.81016596982752,75.80957805269486,0.014368389543005388,0.05880294889416469,1.3964002571244911,16.23848447734171,1.8253797759705386,1.666027201849529,0.11142061281337057,0.9767559507961039,0.13488666811207617,0.0945268229269065,0.9438001434450395,0.003277088047288721,2688.4417352750406,60.703349019663605,162.61974402252238,3.0753155260931493
7200.0,7200.0,101.24477600553142,90.22656670186058,0.021314741035856573,0.09866401487310303,1.4640102827763497,17.43228414669362,2.029265437518291,1.8321102791766057,0.15167095115681217,1.2665800365771496,0.19049588037164567,0.12409921167773175,0.9491122118711903,0.0031353944538879005,3172.0501937463714,71.56398763906299,191.471342707392,3.624767443489118
7300.0,7300.0,115.85488038330078,105.01888022460938,0.024161341853035145,0.1501523686397636,1.460763293310463,18.41416507763552,2.2373403786878026,1.971821818267888,0.17088336192109788,1.5128302914737155,0.23431803966020714,0.14969802124251608,0.9534335653487267,0.0030141200282569223,3608.1836876063044,82.62830613668501,220.87376060791016,4.184552817752424
7400.0,7400.0,132.46714251926966,121.71814277648926,0.03907496012759171,0.203597979217152,1.5046810363596779,19.429895412654034,2.3869194038489363,2.0973834769192234,0.18419333768778556,1.7320078699389043,0.26032407060154705,0.1716615296740367,0.9519410714893898,0.0030808358211788186,4044.982908229046,95.14902414890851,254.18528529575892,4.818144268968164
